"","sentiment.score","ReviewContent","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"2",-1.35,"There are no words for how much I loathed this book.  This was the first audiobook I ever listened to so not sure if something was lost in translation here, if I just disliked the narrators, or if it is truly the book I hated - but man oh man I hated this book and have no idea what the hype is about.  Maybe if I READ it I would have liked it better but none of the characters were likable, the narration was rote and emotionless, and the writing was so ... basic.  ""I sat on the bed.  I got off the bed.  I sat back on the bed.  I poured myself another drink,  I don't want to drink.  I can't stop myself.  I'm going to drink.""  Not a direct quote from the book but you get the picture.  I thought it went way longer than necessary.  I honestly can't figure out why everyone was in love with this book.",2,3,0,0,1,2,1,1,5,2
"4",-0.35,"Three disjointed characters for whom it's hard to feel sympathy or empathy as they are presented in such a superficial way you can't feel for any of them.Plot dragged on and ending was very unsubstantial - definitely not worth the ""Gone Girl"" comparisons.",0,0,0,0,0,1,0,0,1,3
"7",-2.4,"This was the most boring book I have ever read. According to my Kindle I managed 32% before I gave up. The character was lifeless, the story was lifeless and just meandered along at a snails pace. The premise was totally unbelievable unless the train moved at the same speed as the snail. No dialogue just endless narrative of something. Completely unreadable.",1,0,0,2,1,2,0,1,4,2
"9",-0.85,"Hmmmm, after everything I read and heard about this book, I expected to be unable to put it down. Sadly, I was only too happy to put it down -- if I could send it back and get a refund, I surely would!This is a story about a drunk and a hyper-sexed suburban housewife. First, a reader cannot really care about any of the sad and sick characters in the book; second, there is no suspense -- you know the plot line and conclusion within the first 100 pages; and third, a reader  has only one thing to sustain himself -- how long will it take the drunk to remember? It is a pointless story with prosaic prose (not a single highlighted sentence in my copy!) and paper-thin characters. II cannot think of a single redeeming quality about this book except that it did not go on any longer. Had it ended in the first 25 pages, I would have been grateful to the author for putting me out of my misery associated with buying this book!!Unless you are hankering to be bored or fall into a deep slumber while reading this book, do not buy or read it.",2,6,3,3,1,7,1,2,8,5
"17",-2.9,"I don't understand the hype around this book. I can't finish it, let alone recommend it. I've forced myself to read half of it, but have given up -  it's just too annoying. It is well-written from a technical standpoint, but just drags along, with the narrator droning on about her failed marriage, drinking problem and depression. I wouldn't want to put up with her in real life, so I certainly don't want to waste time reading about a fictional character like this. Maybe she shakes it off in the end, but I don't care enough to find out.",1,3,1,2,1,2,0,3,7,4
"23",-4.3,"I was intrigued by the beginning, but is anyone else seriously disappointed in the last 1/4 of the book?  SPOILER ALERT: Do not read further if you have not read the book!Really?  Two men on the same block who physically abuse the same two women in the same exact way?  It seems like there wasn't too much thought put into the male characters, and the last quarter of the book doesn't feel organic -- it feels contrived and forced.The female lead's actions at the end also make her incredibly stupid.  If you figure out that someone is a killer, you DO NOT physically go to that person's house and tell said murderer that you know what happened.  I can understand if these people were teenagers, but in their 30s?  Seriously?  Greatly disappointed.",3,1,3,3,0,4,0,0,6,2
"29",-1.6,"Rachel, still raw after her divorce, travels past her former home twice a day on the commuter train. She becomes interested in an ideal couple living in a house a few doors down from where she used to live, concocting an idyllic life for the two.  Then the wife disappears, and Rachel finds herself obsessed with the mystery -- where has she gone? What has happened? Can she help the grieving husband find answers and deflect suspicion away from him? Convinced she has seen things from the train that give her extra insight into the couple, she inserts herself into the investigation. Meanwhile Anna, Rachel's ex-husband's new wife, contributes to the narrative, giving us a different view of Rachel and her motives, and making no bones about the fact that she views Rachel's intervention as an attempt to stalk her family.  In chapters alternating between Anna, Rachel, and Megan, the woman who has disappeared from her perfect life, the book gives us 3 different points of view of the story -- none of which prepares  us for the book's shocking finale.",1,4,2,3,1,3,2,4,4,5
"32",-1.4,"I had to read this book for a book club. If you spend most of your time voyouristically watching the lives of others rather than living your own life, if you love drunks and the havoc they wreak in your life and their's, if you adore weak, pathetic women who climb into a bottle at the first inkling of duplicity by their husbands, if you have a soft spot for good looking psychopaths, if you keep falling for weak men, by golly this is the book for you. The three-way point of view is a stupid contrivance for a pathetic storyline. The only character I liked or respected was Evie. Although she had no dialogue, she had the good sense to remain quite at critical times in the story. If this is the best Paula Hopkins can write, she has my sympathy. And, if the next generation really is similar to these characters, then God help us all. We're doomed.",3,4,1,3,4,4,1,3,7,6
"35",-2.55,"Where do I begin? So, you have a women who's lost everything, fakes going to work, has a drinking problem, creates a story in her head about a couple she watches from a train, still obsesses over her ex-husband, claims to know the missing women in the story when she doesn't, starts seeing one of the suspects so she can try to be a private eye, sleeps with...Man, this women needs a life!I was super excited to check it out but quickly became extremly dissapointed. The pace was slow, the repitition was annoying, could had done without all the internal dialouge, the chronological order threw me off and as much as I wanted to I could not feel for any of the charcters.Sighs...",1,1,0,2,1,3,1,1,5,1
"36",-1.85,"Like the outdated train tracks that Rachel rides across every day, what was billed as interesting is actually tedious and boring.  The books repetitive plot devices have been done to death.  It doesn't even hold up well enough to be a guilty pleasure or a campy beach read.  Its not a particularly good escape because there is nothing about her world that makes you want to be there.  Rather the story grates on in an irritatingly self-absorbed fashion....much like Rachel making yet another justification to herself to have yet another drink or three.And ike a drunkard's ramble, the story stumbles around until it reaches the end with a final, unsastisfying, meh.",2,3,1,2,2,2,2,1,5,5
