"","sentiment.score","ReviewContent","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",1.4,"Good. It IS a page turner. You can read this book in one day, two at the most, and the plot drives the whole book. The unreliable narrators (there are two besides the main character) are as unlikable as they are unreliable, and there isn't a nice male in the book. Entirely plot driven; the characters are paper thin. You can figure out who-dunnit by the middle of the book. The ending is weak. I can't imagine what all the fuss is about, except that it is quick and there are lots of twists and turns, and you can't trust anyone to tell the truth.",1,1,0,0,1,1,1,4,2,3
"3",7.75,"I think I would ordinarily cut this book more of a break because it is fast-paced - Hawkins wastes zero time describing anything that doesn't have to do with exactly what is going on in the moment - and while that doesn't make her a great writer, there is absolutely nothing here that will transcend, or reverberate within you long after you've finished reading - it at least doesn't bog you down with preciousness. But because the book has received so many rave reviews - I have to judge it more harshly because it just isn't deserved. This is serviceable writing at best - about the level you'd read on Fiction Press - about the level you would get from a first year MFA student. If someone is digging around in something, they are 'scrabbling' (over and over). The lead character's blackouts are along the lines of: ""I couldn't remember. It was all dark. All black. All cloudy. Couldn't remember."" I'm making that up, but it's not significantly different. So, that's the writing, let's get to the plot.The book is told from the POV of three different female characters, none of them compelling in the slightest. We're supposed to care deeply that a woman who chronically cheats on her husband disappears. I really didn't care that she did, frankly. Then we're supposed to care that Rachel, who drinks too much on the train while she pretends to commute to a job she doesn't have and obsesses about her ex-husband and her 'barren womb', may or may not have witnessed a crime. I didn't care about Rachel, didn't care about the woman who'd gone MIA. Now let's get to the third character you can't care about - Anna. I don't even remember her place in the story I cared about her so little. Oh, right, she's the woman who is responsible for the breakdown of Rachel's marriage and is now married to Rachel's ex, Tom.As others have noted, the three female characters have little to discern them from each other, and speak in a nearly identical voice - except one of them drinks. All three lament about men - constantly. They seem to have no other life interests - not one has a hobby, a job, or anything compelling her forward from day to day that doesn't have to do with a guy. (The guys all turn out to be jerks.)I suppose people like this do exist, I'm just not sure why I'm supposed to care about them - or why anyone else did, or how this book got to be so popular. I've heard it was compared to Gone Girl but other than both having a missing woman at the core, and 'Girl' in the title, there seems to be no comparison whatsoever.The 'twist' isn't a twist in the slightest, just the reveal of the missing woman's murderer, and it's exactly who, about three-fourths of the way through (and I'm not good at guessing twists), you suspect it is.  Then the 'reveal' is the guy confessing he did it in a speech you'd hear some cartoonish villain give in a super hero movie or soap opera. That kind of 'Bwahahaha I did it!' thing. Very convenient.But I guess the biggest thing that bothered me was that the entire crux of the story is based on the idea that Rachel has an alcoholic blackout - and the author explains (twice) that when you are having an alcoholic blackout, your brain does not create memories - so there is nothing to 'remember'- but then lo and behold she suddenly has a memory breakthrough, and solves the crime. I thought she wouldn't have been creating memories? It's as if the author wrote half her book, then decided to do some research (googling) and when she found research that blatantly contradicted the plot point her book hinges on, decided ""Oh, what the heck, I'll keep writing"" and then decided to INCLUDE her research. And her editor didn't notice or (more likely) didn't care.A couple of other things an editor (if this book had one) should have picked up on: Much is made of a pile of clothes by the train tracks - so much so that the book opens with a description of them - the importance of the clothes? None. Zip. Zero. And there's a red haired man who keeps popping up - muttering esoteric things - we assume he will be integral to the mystery. Nope, he just disappears.Other stuff I could complain about but it would be spoilery. It seems if books are bought by book clubs, they become huge sellers, no matter how evisceratingly terrible (witness 50 Shades of Grey).Here's one thing I admire the author for: She wrote this book in four months (it shows) and it became a HUGE bestseller. Awesome for her. So few authors ever make it to that level - even with stunningly well-written books - so kudos to her for whatever alchemy happened to guarantee she's got some money to retire on.",7,10,4,8,11,9,9,16,13,33
"5",3.4,"Was snookered into this novel as it was compared to Gone Girl, which I liked a lot...This one is filled with dysfunctional characters who you wouldn't care to spend any time with in real life...I figured out who ""done it"" early on and by the end I imagined an alternative ending which was not a happy ending for the whole lot of them...Can't believe it remains on the bestseller list!",0,2,1,1,1,0,0,3,1,3
"6",0.75,"I'm an editor by trade, so I found the numerous run-ons a bit distracting. I also had trouble keeping track of the story when the chapters jumped back-and-forth in time; it's very easy (and a bit disorienting) to end up halfway through a chapter before realizing that scene isn't a continuation of the previous chapter, but a completely different incident taking place in the past. Girl on the Train also left too many loose ends for my liking: for example, who is the red-haired man and why was he so important to include into the story if he doesn't do anything other than show up at inopportune times and (sort of) hit on the main character?I have to wonder if the author has personal experience with alcoholism, because the way she depicted the main character's thought process was very much in line with what I've seen from recovering addicts. That part is very effectively written; at the same time, it does make the main character harder to relate to, especially if you've never experienced it.Overall, it's not a terrible book, but I don't get the hype over it. As my book club friend described it, Girl on the Train is an airplane book: fine for killing a couple hours when you're traveling and have nothing better to do.",5,6,2,3,3,3,1,9,7,10
"8",0.9,"I have to admit a prejudice: I don't like to read books where I cannot identify even one character that I like.  That is the case with this book.  All the characters are narcissistic stereotypes. That the characters are well drawn and the story well structured is all the more reason for my dislike.  I had a hard time distinguishing the difference between the two male protagonists and the three females except that the main character Rachel is less attractive and a drunk.  Of course she wasn't always that way, at one time she was...just like the other two.  The only reason I gave it two stars instead of one is that the writing is done well.  I don't know if it is just my bias but I seldom find that books that are immensely popular hold up well when read.",3,1,1,1,0,1,0,0,4,2
"10",1.2,"I have heard this book compared to Gone Girl because of the unreliable narrator device. Fans of Gone Girl generally, do not like the comparison, however, I feel that it was apt. Both of the books were long slogs about characters that I did not care about at all. In order for me to enjoy a book, there must be at least one character in the book that I like. The story was not that compelling. The characters were whiny or self-serving. The pacing was glacial.I would never have picked up this book on my own after my experience of reading Gone Girl except it was a selection of my book club. Any book that is compared to Gone Girl will be a book that I will strike from my list of possible reads. Girl on a Train also has one of the worst covers that I have ever seen. The lettering on the cover is probably very effective in trying to give a feeling of motion because it gives me motion sickness every time I look at it.This book was not an enjoyable read for me. I don't like unreliable narrators. I don't like books filled with unsympathetic characters. I don't like books that flip back and forth with time. I cannot recommend this book to anyone unless you enjoy the things that I don't.",3,5,2,2,2,2,1,6,6,7
"11",0.75,"I'm an editor by trade, so I found the numerous run-ons a bit distracting. I also had trouble keeping track of the story when the chapters jumped back-and-forth in time; it's very easy (and a bit disorienting) to end up halfway through a chapter before realizing that scene isn't a continuation of the previous chapter, but a completely different incident taking place in the past. Girl on the Train also left too many loose ends for my liking: for example, who is the red-haired man and why was he so important to include into the story if he doesn't do anything other than show up at inopportune times and (sort of) hit on the main character?I have to wonder if the author has personal experience with alcoholism, because the way she depicted the main character's thought process was very much in line with what I've seen from recovering addicts. That part is very effectively written; at the same time, it does make the main character harder to relate to, especially if you've never experienced it.Overall, it's not a terrible book, but I don't get the hype over it. As my book club friend described it, Girl on the Train is an airplane book: fine for killing a couple hours when you're traveling and have nothing better to do.",5,6,2,3,3,3,1,9,7,10
"12",0.9,"I am half way through this book and can honestly say I hate it. I can't believe all of the good reviews--I don't understand what all the fuss is about. The character development is weak--and I don't like any of them. It's B-O-R-I-N-G. I would advise you to skip this book and save your money...but obviously some other people like this book. I just don't know why!!!",3,2,1,1,3,2,2,4,3,4
"13",0.9,"I have to admit a prejudice: I don't like to read books where I cannot identify even one character that I like.  That is the case with this book.  All the characters are narcissistic stereotypes. That the characters are well drawn and the story well structured is all the more reason for my dislike.  I had a hard time distinguishing the difference between the two male protagonists and the three females except that the main character Rachel is less attractive and a drunk.  Of course she wasn't always that way, at one time she was...just like the other two.  The only reason I gave it two stars instead of one is that the writing is done well.  I don't know if it is just my bias but I seldom find that books that are immensely popular hold up well when read.",3,1,1,1,0,1,0,0,4,2
"14",1.35,"I have just started reading e-books and thought I'd try this since I had a bus ride to take and the other book I am reading is 4 inches thick. I don't like books with prologue sections that try to hook you and leave you waiting half the book -- or more -- to find out what that was all about, but this one was brief, so onward.  I think I read the whole first chapter before starting to flick quickly through the screen pages:  Boring, flat, self-pitying, boring, paralyzed, nothing happening, how many pages devoted to Rachel's drinking and phone calls?, boring. . . .Anna, who cares?. . . Jess who is not Jess. . .Eesh. I gave up. The tone is very flat, even when the narrating character changes. I found myself wondering if this was indeed a mystery. Amazon has just informed me that it is. . . but the only mystery to me is why this book has been so successful.",1,5,0,1,2,2,3,3,5,3
